date,open,high,low,close,volume
2015-01-05,3.604,3.735,3.589,3.688,3075898432.0
2015-01-06,3.665,3.708,3.612,3.663,1602342416.0
2015-01-07,3.645,3.69,3.625,3.662,1704322176.0
2015-01-08,3.672,3.682,3.57,3.582,1236136576.0
2015-01-09,3.572,3.725,3.542,3.556,2078056288.0
2015-01-12,3.557,3.58,3.487,3.545,1382650496.0
2015-01-13,3.542,3.576,3.512,3.538,969740096.0
2015-01-14,3.545,3.573,3.49,3.53,963163120.0
2015-01-15,3.53,3.636,3.504,3.63,1311928048.0
2015-01-16,3.643,3.685,3.633,3.662,1313395824.0
2015-01-19,3.469,3.499,3.296,3.296,1276527280.0
2015-01-20,3.31,3.414,3.302,3.382,1700513728.0
2015-01-21,3.394,3.556,3.391,3.537,1388185584.0
2015-01-22,3.543,3.568,3.501,3.543,994191344.0
2015-01-23,3.568,3.613,3.53,3.56,974562336.0
2015-01-26,3.58,3.6,3.542,3.594,880206464.0
2015-01-27,3.602,3.607,3.486,3.558,1231244992.0
2015-01-28,3.531,3.57,3.489,3.501,958400896.0
2015-01-29,3.455,3.488,3.432,3.464,953056640.0
2015-01-30,3.484,3.503,3.406,3.421,1117981744.0
2015-02-02,3.36,3.399,3.333,3.344,858340400.0
2015-02-03,3.383,3.435,3.353,3.423,872503664.0
2015-02-04,3.439,3.47,3.38,3.384,1093056896.0
2015-02-05,3.475,3.48,3.34,3.344,1464772224.0
2015-02-06,3.344,3.361,3.269,3.294,1332376592.0
2015-02-09,3.294,3.37,3.29,3.332,1251856640.0
2015-02-10,3.336,3.401,3.333,3.399,1393534592.0
2015-02-11,3.403,3.435,3.402,3.421,1191126000.0
2015-02-12,3.421,3.446,3.393,3.435,778512224.0
2015-02-13,3.443,3.503,3.443,3.457,1081377584.0
2015-02-16,3.456,3.495,3.451,3.486,842154768.0
2015-02-17,3.501,3.529,3.5,3.517,897306048.0
2015-02-25,3.514,3.514,3.444,3.463,1377980576.0
2015-02-26,3.46,3.569,3.445,3.566,1251704064.0
2015-02-27,3.564,3.585,3.542,3.559,1033178832.0
2015-03-02,3.583,3.598,3.551,3.587,1151242272.0
2015-03-03,3.563,3.563,3.485,3.489,1196503312.0
2015-03-04,3.501,3.532,3.478,3.518,869686624.0
2015-03-05,3.497,3.506,3.451,3.488,1061900752.0
2015-03-06,3.485,3.501,3.457,3.466,918423392.0
2015-03-09,3.432,3.544,3.401,3.534,1498949744.0
2015-03-10,3.521,3.537,3.496,3.509,1061447808.0
2015-03-11,3.51,3.565,3.495,3.514,1413614944.0
2015-03-12,3.538,3.597,3.526,3.578,1438513312.0
2015-03-13,3.586,3.625,3.573,3.598,920002896.0
2015-03-16,3.62,3.694,3.601,3.687,1241954192.0
2015-03-17,3.715,3.742,3.701,3.734,1377257728.0
2015-03-18,3.742,3.839,3.742,3.833,1332204304.0
2015-03-19,3.816,3.832,3.793,3.813,1374798448.0
2015-03-20,3.824,3.896,3.81,3.867,1271122032.0
2015-03-23,3.907,3.98,3.902,3.945,950611984.0
2015-03-24,3.951,3.962,3.868,3.941,1626694704.0
2015-03-25,3.926,3.951,3.881,3.917,1218971408.0
2015-03-26,3.9,3.966,3.86,3.92,1275240896.0
2015-03-27,3.927,3.972,3.91,3.95,884522816.0
2015-03-30,3.983,4.09,3.975,4.076,1280276128.0
2015-03-31,4.134,4.15,3.975,4.031,2741013824.0
2015-04-01,4.035,4.125,4.028,4.097,1482410064.0
2015-04-02,4.127,4.139,4.035,4.091,2019822720.0
2015-04-03,4.083,4.162,4.073,4.157,1054923088.0
2015-04-07,4.183,4.23,4.156,4.23,1239846352.0
2015-04-08,4.24,4.277,4.185,4.264,936815824.0
2015-04-09,4.282,4.298,4.193,4.233,1166833104.0
2015-04-10,4.233,4.339,4.213,4.332,1028443440.0
