,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SZ.159636,2022-07-20 09:45:00,1.0,0.978,1.0,0.962,0.0,0.0,518309,507262.039,-2.200000000000002,1.0
1,SZ.159636,2022-07-20 10:00:00,0.978,0.981,0.982,0.976,0.0,0.0,181703,177796.531,0.306748466257669,0.978
2,SZ.159636,2022-07-20 10:15:00,0.981,0.979,0.982,0.978,0.0,0.0,105900,103717.0,-0.2038735983690114,0.981
3,SZ.159636,2022-07-20 10:30:00,0.979,0.981,0.982,0.979,0.0,0.0,77100,75672.0,0.20429009193054154,0.979
4,SZ.159636,2022-07-20 10:45:00,0.981,0.983,0.984,0.979,0.0,0.0,145300,142470.9,0.2038735983690114,0.981
5,SZ.159636,2022-07-20 11:00:00,0.983,0.978,0.983,0.978,0.0,0.0,152804,149764.62,-0.5086469989827065,0.983
6,SZ.159636,2022-07-20 11:15:00,0.978,0.978,0.979,0.977,0.0,0.0,216100,211334.9,0.0,0.978
7,SZ.159636,2022-07-20 11:30:00,0.978,0.979,0.98,0.977,0.0,0.0,26400,25852.6,0.10224948875255634,0.978
8,SZ.159636,2022-07-20 13:15:00,0.979,0.976,0.98,0.976,0.0,0.0,568104,556416.712,-0.30643513789581234,0.979
9,SZ.159636,2022-07-20 13:30:00,0.976,0.974,0.976,0.97,0.0,0.0,65400,63640.5,-0.20491803278688542,0.976
10,SZ.159636,2022-07-20 13:45:00,0.974,0.975,0.975,0.973,0.0,0.0,53200,51826.6,0.10266940451745389,0.974
11,SZ.159636,2022-07-20 14:00:00,0.975,0.976,0.977,0.975,0.0,0.0,20800,20290.8,0.10256410256410264,0.975
12,SZ.159636,2022-07-20 14:15:00,0.975,0.976,0.978,0.974,0.0,0.0,29000,28314.0,0.0,0.976
13,SZ.159636,2022-07-20 14:30:00,0.976,0.975,0.977,0.974,0.0,0.0,65000,63468.0,-0.10245901639344271,0.976
14,SZ.159636,2022-07-20 14:45:00,0.975,0.975,0.975,0.974,0.0,0.0,6000,5847.0,0.0,0.975
15,SZ.159636,2022-07-20 15:00:00,0.975,0.977,0.977,0.975,0.0,0.0,18000,17559.0,0.2051282051282053,0.975
